Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,1,92,TOVPlayerAttack,Default Attack against 789,3.385
0,1,92,TOVPlayerAttack,Default Attack against 790,3.39
0,2,82,TOVPlayerAttack,Default Attack against 789,3.485
0,0,80,TOVPlayerAttack,Default Attack against 790,3.825
0,1,92,TOVPlayerMove,Moved from tile [8, 13] in direction [1, 0].,3.7199999999999998
0,2,82,TOVPlayerAttack,Default Attack against 793,4.065
0,0,80,TOVPlayerMove,Moved from tile [8, 14] in direction [0, 1].,4.075
0,1,92,TOVPlayerAttack,Default Attack against 833,4.05
0,2,81,TOVPlayerUseCard,Played the card: null,4.065
0,2,71,TOVPlayerUseCard,Played the card: null,4.065
0,1,85,TOVPlayerAttack,Default Attack against 832,4.085
0,2,71,TOVPlayerAttack,Default Attack against 832,4.32
0,0,73,TOVPlayerMove,Moved from tile [8, 14] in direction [-1, 0].,4.405
0,1,85,TOVPlayerMove,Moved from tile [8, 14] in direction [1, 0].,4.415
0,2,71,TOVPlayerMove,Moved from tile [7, 14] in direction [1, 0].,4.32
0,0,73,TOVPlayerMove,Moved from tile [9, 14] in direction [1, 0].,4.405
0,0,73,TOVPlayerMove,Moved from tile [10, 14] in direction [1, 0].,4.405
0,1,78,TOVPlayerAttack,Default Attack against 837,4.45
0,2,71,TOVPlayerAttack,Default Attack against 837,4.57
0,0,73,TOVPlayerMove,Moved from tile [10, 14] in direction [0, -1].,4.66
0,1,78,TOVPlayerMove,Moved from tile [10, 14] in direction [1, 0].,4.78
0,2,71,TOVPlayerMove,Moved from tile [10, 13] in direction [1, 0].,4.57
0,2,71,TOVPlayerMove,Moved from tile [9, 13] in direction [-1, 0].,4.57
0,0,73,TOVPlayerAttack,Default Attack against 798,4.66
0,1,73,TOVPlayerAttack,Default Attack against 797,4.805
0,2,71,TOVPlayerAttack,Default Attack against 796,4.9
0,0,73,TOVPlayerMove,Moved from tile [9, 13] in direction [1, 0].,4.99
0,1,73,TOVPlayerMove,Moved from tile [9, 13] in direction [0, 1].,5.135
0,2,71,TOVPlayerMove,Moved from tile [10, 13] in direction [1, 0].,4.9
0,0,73,TOVPlayerMove,Moved from tile [9, 14] in direction [0, 1].,4.99
0,1,73,TOVPlayerMove,Moved from tile [10, 13] in direction [1, 0].,5.135
