Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,1,42,TOVPlayerAttack,Default Attack against 28,5.9138
0,0,75,TOVPlayerAttack,Default Attack against 27,6.253
0,2,65,TOVPlayerMove,Moved from tile [2, 1] in direction [1, 0].,6.081
0,1,42,TOVPlayerMove,Moved from tile [2, 1] in direction [1, 0].,6.9658
0,0,75,TOVPlayerMove,Moved from tile [3, 1] in direction [1, 0].,6.264
0,2,65,TOVPlayerMove,Moved from tile [3, 1] in direction [1, 0].,6.0920000000000005
0,1,42,TOVPlayerMove,Moved from tile [3, 1] in direction [1, 0].,6.9768
0,0,75,TOVPlayerMove,Moved from tile [4, 1] in direction [0, -1].,6.265000000000001
0,2,65,TOVPlayerMove,Moved from tile [4, 1] in direction [1, 0].,6.093000000000001
0,1,42,TOVPlayerMove,Moved from tile [3, 0] in direction [0, -1].,6.9658
0,0,75,TOVPlayerMove,Moved from tile [5, 1] in direction [-1, 0].,6.295999999999999
0,2,65,TOVPlayerMove,Moved from tile [4, 0] in direction [0, 1].,6.077
0,1,42,TOVPlayerMove,Moved from tile [2, 0] in direction [0, 1].,6.9517999999999995
0,0,75,TOVPlayerMove,Moved from tile [5, 2] in direction [-1, 0].,6.271
0,0,75,TOVPlayerMove,Moved from tile [6, 2] in direction [1, 0].,6.302
0,1,42,TOVPlayerAttack,Default Attack against 60,7.4948
0,2,65,TOVPlayerAttack,Default Attack against 60,6.61
0,2,53,TOVPlayerUseCard,Played the card: null,6.61
0,0,59,TOVPlayerAttack,Default Attack against 61,6.791
0,2,53,TOVPlayerUseCard,Played the card: null,6.619
0,1,42,TOVPlayerAttack,Default Attack against 60,7.5788
0,1,34,TOVPlayerUseCard,Played the card: null,7.5691999999999995
0,0,59,TOVPlayerUseCard,Played the card: null,6.791
0,1,34,TOVPlayerAttack,Default Attack against 61,7.5691999999999995
0,2,43,TOVPlayerAttack,Default Attack against 62,6.45655
0,1,34,TOVPlayerAttack,Default Attack against 62,8.5682
0,0,51,TOVPlayerMove,Moved from tile [6, 3] in direction [0, 1].,7.876
0,1,34,TOVPlayerAttack,Default Attack against 88,8.5792
0,0,51,TOVPlayerAttack,Default Attack against 88,8.865
0,2,43,TOVPlayerMove,Moved from tile [6, 3] in direction [0, -1].,8.521550000000001
0,1,34,TOVPlayerMove,Moved from tile [6, 3] in direction [0, 1].,9.6432
0,0,51,TOVPlayerMove,Moved from tile [6, 2] in direction [0, 1].,8.873999999999999
0,2,43,TOVPlayerMove,Moved from tile [6, 4] in direction [-1, 0].,8.53255
0,1,34,TOVPlayerMove,Moved from tile [6, 4] in direction [0, -1].,9.6542
0,0,87,TOVPlayerMove,Moved from tile [5, 2] in direction [1, 0].,8.363
0,2,85,TOVPlayerMove,Moved from tile [6, 3] in direction [1, 0].,8.184000000000001
0,1,83,TOVPlayerMove,Moved from tile [7, 4] in direction [0, -1].,9.383
0,0,87,TOVPlayerMove,Moved from tile [6, 2] in direction [0, 1].,8.393999999999998
0,2,85,TOVPlayerMove,Moved from tile [6, 2] in direction [0, 1].,8.213
0,2,85,TOVPlayerMove,Moved from tile [6, 1] in direction [0, -1].,8.212
0,1,83,TOVPlayerAttack,Default Attack against 39,9.389
0,0,87,TOVPlayerAttack,Default Attack against 40,8.392999999999999
0,0,87,TOVPlayerAttack,Default Attack against 40,8.477
0,1,76,TOVPlayerAttack,Default Attack against 39,9.433
0,0,87,TOVPlayerAttack,Default Attack against 41,8.561
0,0,76,TOVPlayerAttack,Default Attack against 40,8.561
0,2,77,TOVPlayerAttack,Default Attack against 39,8.221
0,0,69,TOVPlayerAttack,Default Attack against 39,9.051
0,2,77,TOVPlayerAttack,Default Attack against 41,9.201
0,1,93,TOVPlayerMove,Moved from tile [6, 1] in direction [1, 0].,10.432
0,0,92,TOVPlayerMove,Moved from tile [6, 1] in direction [0, -1].,9.615
0,2,94,TOVPlayerMove,Moved from tile [7, 1] in direction [0, 1].,9.202
0,1,93,TOVPlayerMove,Moved from tile [6, 0] in direction [-1, 0].,10.421000000000001
0,0,92,TOVPlayerMove,Moved from tile [6, 2] in direction [-1, 0].,9.626
0,2,94,TOVPlayerMove,Moved from tile [6, 1] in direction [0, -1].,9.191
0,1,93,TOVPlayerMove,Moved from tile [5, 0] in direction [0, 1].,10.410000000000002
0,0,92,TOVPlayerMove,Moved from tile [6, 1] in direction [-1, 0].,9.615
0,2,94,TOVPlayerMove,Moved from tile [6, 2] in direction [0, -1].,9.202
0,0,92,TOVPlayerMove,Moved from tile [7, 2] in direction [1, 0].,9.637
0,2,94,TOVPlayerAttack,Default Attack against 65,9.213000000000001
0,1,93,TOVPlayerAttack,Default Attack against 67,10.454
0,1,93,TOVPlayerAttack,Default Attack against 66,10.463000000000001
0,0,84,TOVPlayerAttack,Default Attack against 66,9.646
0,2,87,TOVPlayerAttack,Default Attack against 66,9.222
0,1,85,TOVPlayerAttack,Default Attack against 67,10.587
0,0,79,TOVPlayerAttack,Default Attack against 65,10.636000000000001
0,2,87,TOVPlayerMove,Moved from tile [7, 2] in direction [0, -1].,10.296000000000001
0,1,85,TOVPlayerMove,Moved from tile [7, 2] in direction [-1, 0].,11.661000000000001
0,0,79,TOVPlayerMove,Moved from tile [7, 1] in direction [0, -1].,10.635
0,2,87,TOVPlayerMove,Moved from tile [6, 2] in direction [0, -1].,10.285
0,1,85,TOVPlayerMove,Moved from tile [7, 1] in direction [-1, 0].,11.66
0,0,79,TOVPlayerMove,Moved from tile [7, 0] in direction [-1, 0].,10.624
0,2,87,TOVPlayerMove,Moved from tile [5, 2] in direction [0, 1].,10.284
0,1,85,TOVPlayerMove,Moved from tile [6, 1] in direction [0, 1].,11.649000000000001
0,0,79,TOVPlayerMove,Moved from tile [7, 1] in direction [1, 0].,10.635
0,2,87,TOVPlayerMove,Moved from tile [5, 3] in direction [0, 1].,10.295
0,0,79,TOVPlayerMove,Moved from tile [4, 3] in direction [-1, 0].,10.665
0,2,87,TOVPlayerAttack,Default Attack against 84,10.325
0,1,85,TOVPlayerAttack,Default Attack against 84,11.69
0,0,79,TOVPlayerAttack,Default Attack against 84,11.664
0,2,87,TOVPlayerMove,Moved from tile [4, 3] in direction [1, 0].,11.323999999999998
0,0,79,TOVPlayerMove,Moved from tile [3, 3] in direction [-1, 0].,11.655000000000001
0,2,87,TOVPlayerAttack,Default Attack against 80,11.315
0,2,87,TOVPlayerAttack,Default Attack against 81,11.324
0,1,81,TOVPlayerAttack,Default Attack against 80,12.775
0,0,77,TOVPlayerAttack,Default Attack against 81,12.644
0,2,87,TOVPlayerMove,Moved from tile [3, 3] in direction [1, 0].,12.388000000000002
0,1,81,TOVPlayerMove,Moved from tile [3, 3] in direction [0, -1].,13.839
0,0,77,TOVPlayerMove,Moved from tile [4, 3] in direction [0, -1].,12.672999999999998
0,2,87,TOVPlayerMove,Moved from tile [3, 2] in direction [0, -1].,12.377
0,1,81,TOVPlayerMove,Moved from tile [3, 2] in direction [-1, 0].,13.828
0,0,77,TOVPlayerMove,Moved from tile [4, 2] in direction [1, 0].,12.642
0,2,87,TOVPlayerMove,Moved from tile [2, 2] in direction [-1, 0].,12.376000000000001
0,1,81,TOVPlayerMove,Moved from tile [4, 2] in direction [-1, 0].,13.837
0,0,77,TOVPlayerMove,Moved from tile [3, 2] in direction [1, 0].,12.633
0,2,87,TOVPlayerMove,Moved from tile [1, 2] in direction [0, -1].,12.375000000000002
0,1,81,TOVPlayerMove,Moved from tile [5, 2] in direction [0, 1].,13.837
0,0,77,TOVPlayerMove,Moved from tile [3, 1] in direction [0, -1].,12.622
0,2,87,TOVPlayerMove,Moved from tile [1, 3] in direction [0, 1].,12.386000000000001
0,1,81,TOVPlayerMove,Moved from tile [5, 1] in direction [-1, 0].,13.826
0,0,77,TOVPlayerMove,Moved from tile [3, 2] in direction [0, 1].,12.633
0,2,87,TOVPlayerMove,Moved from tile [0, 3] in direction [0, 1].,12.375000000000002
0,1,81,TOVPlayerMove,Moved from tile [5, 2] in direction [0, 1].,13.837
0,0,77,TOVPlayerMove,Moved from tile [3, 3] in direction [0, 1].,12.644
0,2,87,TOVPlayerMove,Moved from tile [0, 4] in direction [0, -1].,12.386000000000001
0,1,81,TOVPlayerMove,Moved from tile [5, 3] in direction [1, 0].,13.847999999999999
0,0,77,TOVPlayerMove,Moved from tile [3, 2] in direction [1, 0].,12.633
0,2,87,TOVPlayerMove,Moved from tile [1, 4] in direction [-1, 0].,12.397
0,1,81,TOVPlayerMove,Moved from tile [6, 3] in direction [-1, 0].,13.839
0,0,77,TOVPlayerMove,Moved from tile [2, 2] in direction [-1, 0].,12.632
