Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
7,0,67,TOVPlayerUseCard,Played the card: Empower,55.625,95
7,1,55,TOVPlayerUseCard,Played the card: Dazzle,54.003,95
7,2,96,TOVPlayerUseCard,Played the card: Heal,48.184,95
7,0,65,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",56.0,96
7,1,53,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",54.408,96
7,2,99,TOVPlayerUseCard,Played the card: Heal,48.56,96
7,0,62,TOVPlayerAttack,Default Attack against 24,56.375,97
7,1,51,TOVPlayerAttack,Default Attack against 30,54.859,97
7,2,99,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",42.024,97
7,0,61,TOVPlayerUseCard,Played the card: null,56.75,98
7,1,48,TOVPlayerUseCard,Played the card: Dazzle,54.784,98
7,2,98,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",42.329,98
7,0,60,TOVPlayerUseCard,Played the card: Empower,57.125,99
7,1,46,TOVPlayerUseCard,Played the card: Dazzle,55.167,99
7,2,98,TOVPlayerAttack,Default Attack against 30,42.691,99
7,0,57,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",57.5,100
7,1,43,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",55.526,100
7,2,97,TOVPlayerUseCard,Played the card: Heal,46.91,100
7,0,57,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",57.875,101
7,1,40,TOVPlayerUseCard,Played the card: Taunt,55.979,101
7,2,97,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",43.34,101
7,0,54,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",58.25,102
7,1,39,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",56.341,102
7,2,96,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",43.645,102
7,0,53,TOVPlayerAttack,Default Attack against 26,58.625,103
7,1,36,TOVPlayerUseCard,Played the card: Taunt,56.79,103
7,2,85,TOVPlayerUseCard,Played the card: Life tap,47.114,103
7,0,50,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",59.0,104
7,1,33,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",57.138,104
7,2,85,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",44.274,104
7,0,49,TOVPlayerUseCard,Played the card: Empower,59.375,105
7,1,30,TOVPlayerUseCard,Played the card: Taunt,57.581,105
7,2,85,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",44.579,105
7,0,46,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",59.75,106
7,1,29,TOVPlayerUseCard,Played the card: null,57.939,106
7,2,82,TOVPlayerAttack,Default Attack against 23,44.913,106
7,0,44,TOVPlayerUseCard,Played the card: Empower,60.125,107
7,1,29,TOVPlayerUseCard,Played the card: Dazzle,58.326,107
7,2,82,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",45.218,107
7,0,42,TOVPlayerAttack,Default Attack against 27,60.5,108
7,1,27,TOVPlayerUseCard,Played the card: Dazzle,58.695,108
7,2,80,TOVPlayerAttack,Default Attack against 26,45.885,108
7,0,41,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",60.875,109
7,1,27,TOVPlayerUseCard,Played the card: null,59.062,109
7,2,80,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",54.28,109
7,0,38,TOVPlayerUseCard,Played the card: Empower,61.25,110
7,1,24,TOVPlayerAttack,Default Attack against 20,59.431,110
7,2,79,TOVPlayerUseCard,Played the card: null,54.624,110
7,0,38,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",61.625,111
7,1,21,TOVPlayerUseCard,Played the card: Dazzle,59.784,111
7,2,68,TOVPlayerUseCard,Played the card: Life tap,58.254,111
7,0,38,TOVPlayerUseCard,Played the card: Empower,62.0,112
7,1,18,TOVPlayerAttack,Default Attack against 27,60.47,112
7,2,66,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",55.333,112
7,0,36,TOVPlayerUseCard,Played the card: Cleave,62.375,113
7,1,16,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",60.811,113
7,2,65,TOVPlayerUseCard,Played the card: null,55.678,113
7,0,35,TOVPlayerUseCard,Played the card: Empower,62.75,114
7,1,16,TOVPlayerUseCard,Played the card: null,61.179,114
7,2,65,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",56.022,114
7,0,32,TOVPlayerUseCard,Played the card: Empower,63.125,115
7,1,14,TOVPlayerUseCard,Played the card: Dazzle,61.538,115
7,2,53,TOVPlayerUseCard,Played the card: Life tap,61.791,115
7,0,29,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",63.5,116
7,1,13,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",61.891,116
7,2,50,TOVPlayerAttack,Default Attack against 23,58.841,116
7,0,29,TOVPlayerUseCard,Played the card: Cleave,63.875,117
7,1,11,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",62.227,117
7,2,60,TOVPlayerUseCard,Played the card: Heal,61.334,117
7,0,26,TOVPlayerUseCard,Played the card: Empower,64.25,118
7,1,11,TOVPlayerUseCard,Played the card: Taunt,62.7,118
7,2,68,TOVPlayerUseCard,Played the card: Heal,61.739,118
7,0,25,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",64.625,119
7,1,8,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",64.625,119
7,2,65,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",57.872,119
7,0,25,TOVPlayerAttack,Default Attack against 29,65.0,120
7,1,6,TOVPlayerUseCard,Played the card: Taunt,65.0,120
7,2,64,TOVPlayerUseCard,Played the card: null,58.217,120
7,0,24,TOVPlayerUseCard,Played the card: Empower,65.375,121
7,1,3,TOVPlayerUseCard,Played the card: Taunt,65.375,121
7,2,72,TOVPlayerUseCard,Played the card: Heal,62.874,121
7,0,22,TOVPlayerAttack,Default Attack against 28,65.75,122
7,1,2,TOVPlayerUseCard,Played the card: Taunt,65.75,122
7,2,61,TOVPlayerUseCard,Played the card: Life tap,65.75,122
7,0,21,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",66.125,123
7,1,1,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",66.125,123
7,2,60,TOVPlayerAttack,Default Attack against 29,59.36,123
7,0,20,TOVPlayerUseCard,Played the card: Cleave,66.5,124
7,1,1,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",66.5,124
7,2,58,TOVPlayerAttack,Default Attack against 26,61.911,124
7,0,20,TOVPlayerAttack,Default Attack against 30,66.875,125
7,1,100,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",66.875,125
7,2,65,TOVPlayerUseCard,Played the card: Heal,64.482,125
7,0,20,TOVPlayerUseCard,Played the card: Cleave,67.25,126
7,1,98,TOVPlayerUseCard,Played the card: Taunt,67.25,126
7,2,72,TOVPlayerUseCard,Played the card: Heal,64.89,126
7,0,20,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",67.625,127
7,1,95,TOVPlayerUseCard,Played the card: Dazzle,67.625,127
7,2,62,TOVPlayerUseCard,Played the card: Life tap,67.625,127
7,0,17,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",68.0,128
7,1,94,TOVPlayerUseCard,Played the card: Dazzle,68.0,128
7,2,62,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",61.242,128
7,0,14,TOVPlayerUseCard,Played the card: Empower,68.375,129
7,1,91,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",68.375,129
7,2,60,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",61.588,129
7,0,11,TOVPlayerUseCard,Played the card: null,68.75,130
7,1,89,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",68.75,130
7,2,59,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",64.153,130
7,0,9,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",69.125,131
7,1,86,TOVPlayerUseCard,Played the card: Dazzle,69.125,131
7,2,59,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",64.508,131
7,0,6,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",69.5,132
