Game,PlayerID,Health,ActionType,ActionString,HeuristicValue
0,1,29,TOVPlayerMove,Moved from tile [6, 3] in direction [-1, 0].,11.29295
0,0,57,TOVPlayerMove,Moved from tile [6, 3] in direction [-1, 0].,11.09
0,2,43,TOVPlayerMove,Moved from tile [5, 3] in direction [1, 0].,10.51355
0,1,29,TOVPlayerMove,Moved from tile [5, 3] in direction [-1, 0].,11.28395
0,0,89,TOVPlayerMove,Moved from tile [7, 3] in direction [0, 1].,10.599
0,0,89,TOVPlayerMove,Moved from tile [7, 2] in direction [0, -1].,10.629
0,1,82,TOVPlayerAttack,Default Attack against 69,11.084
0,1,78,TOVPlayerAttack,Default Attack against 70,11.109
0,1,78,TOVPlayerAttack,Default Attack against 68,11.113999999999999
0,0,85,TOVPlayerAttack,Default Attack against 70,10.633999999999999
0,2,77,TOVPlayerAttack,Default Attack against 69,10.224
0,2,77,TOVPlayerAttack,Default Attack against 69,10.229
0,1,78,TOVPlayerAttack,Default Attack against 69,11.119
0,0,77,TOVPlayerAttack,Default Attack against 68,10.639
0,0,71,TOVPlayerAttack,Default Attack against 70,11.124
0,0,71,TOVPlayerAttack,Default Attack against 70,11.204
0,2,75,TOVPlayerAttack,Default Attack against 68,11.299
0,0,71,TOVPlayerMove,Moved from tile [7, 1] in direction [0, -1].,12.284999999999998
0,2,75,TOVPlayerAttack,Default Attack against 43,11.299999999999999
0,1,74,TOVPlayerAttack,Default Attack against 42,12.624999999999998
0,1,69,TOVPlayerAttack,Default Attack against 42,12.655
0,0,70,TOVPlayerAttack,Default Attack against 42,12.29
0,1,69,TOVPlayerAttack,Default Attack against 43,12.735
0,1,68,TOVPlayerAttack,Default Attack against 43,12.745
0,0,70,TOVPlayerAttack,Default Attack against 43,13.275
0,2,70,TOVPlayerMove,Moved from tile [7, 1] in direction [0, -1].,12.775
0,1,68,TOVPlayerMove,Moved from tile [7, 1] in direction [0, 1].,13.805
0,0,70,TOVPlayerMove,Moved from tile [7, 0] in direction [0, 1].,13.264000000000001
0,2,70,TOVPlayerMove,Moved from tile [7, 2] in direction [-1, 0].,12.784
0,0,70,TOVPlayerMove,Moved from tile [8, 2] in direction [1, 0].,13.293000000000001
0,1,68,TOVPlayerAttack,Default Attack against 74,13.823
0,2,59,TOVPlayerAttack,Default Attack against 73,12.793000000000001
0,0,70,TOVPlayerAttack,Default Attack against 73,13.298
0,1,68,TOVPlayerAttack,Default Attack against 73,13.828000000000001
0,2,59,TOVPlayerAttack,Default Attack against 73,12.798
0,2,55,TOVPlayerAttack,Default Attack against 74,12.803
0,0,63,TOVPlayerAttack,Default Attack against 73,13.303
0,1,68,TOVPlayerAttack,Default Attack against 73,13.908
0,2,55,TOVPlayerAttack,Default Attack against 73,12.803
0,1,57,TOVPlayerAttack,Default Attack against 74,14.953000000000001
0,0,63,TOVPlayerMove,Moved from tile [8, 3] in direction [0, 1].,14.303
0,1,57,TOVPlayerAttack,Default Attack against 103,14.963000000000001
0,2,55,TOVPlayerAttack,Default Attack against 102,13.883000000000001
0,2,53,TOVPlayerAttack,Default Attack against 103,13.888
0,2,53,TOVPlayerAttack,Default Attack against 101,13.893
0,1,57,TOVPlayerAttack,Default Attack against 101,14.968
0,0,57,TOVPlayerAttack,Default Attack against 103,14.308
0,0,56,TOVPlayerAttack,Default Attack against 102,14.313
0,0,56,TOVPlayerAttack,Default Attack against 103,14.393
0,1,56,TOVPlayerAttack,Default Attack against 103,14.978
0,0,56,TOVPlayerAttack,Default Attack against 102,15.383000000000001
0,1,56,TOVPlayerMove,Moved from tile [8, 4] in direction [0, 1].,15.559
0,2,39,TOVPlayerAttack,Default Attack against 122,14.28795
0,0,56,TOVPlayerAttack,Default Attack against 121,14.894
0,0,56,TOVPlayerAttack,Default Attack against 121,14.899
0,0,56,TOVPlayerAttack,Default Attack against 122,14.904
0,2,33,TOVPlayerAttack,Default Attack against 121,14.25455
0,1,50,TOVPlayerAttack,Default Attack against 121,15.594
0,1,50,TOVPlayerAttack,Default Attack against 122,15.599
0,0,50,TOVPlayerAttack,Default Attack against 122,15.964
0,2,27,TOVPlayerMove,Moved from tile [8, 4] in direction [-1, 0].,15.19255
0,1,50,TOVPlayerMove,Moved from tile [8, 4] in direction [0, 1].,16.659
0,0,50,TOVPlayerMove,Moved from tile [7, 4] in direction [0, -1].,15.955
0,2,27,TOVPlayerMove,Moved from tile [8, 5] in direction [1, 0].,15.18355
0,1,50,TOVPlayerMove,Moved from tile [8, 3] in direction [1, 0].,17.167999999999996
0,0,50,TOVPlayerMove,Moved from tile [8, 4] in direction [-1, 0].,15.964
0,2,27,TOVPlayerMove,Moved from tile [9, 5] in direction [-1, 0].,15.19255
0,1,50,TOVPlayerMove,Moved from tile [7, 3] in direction [0, 1].,16.659
0,0,50,TOVPlayerMove,Moved from tile [7, 4] in direction [-1, 0].,15.955
0,2,27,TOVPlayerMove,Moved from tile [9, 6] in direction [1, 0].,15.18255
0,1,50,TOVPlayerMove,Moved from tile [6, 3] in direction [0, 1].,16.65
0,0,50,TOVPlayerMove,Moved from tile [8, 4] in direction [1, 0].,15.964
0,2,27,TOVPlayerMove,Moved from tile [9, 7] in direction [0, 1].,15.17355
0,1,50,TOVPlayerMove,Moved from tile [7, 3] in direction [-1, 0].,16.659
0,0,50,TOVPlayerMove,Moved from tile [8, 5] in direction [0, -1].,15.955
0,2,27,TOVPlayerMove,Moved from tile [8, 7] in direction [1, 0].,15.66455
0,1,50,TOVPlayerMove,Moved from tile [7, 2] in direction [1, 0].,17.159
0,0,50,TOVPlayerMove,Moved from tile [9, 5] in direction [1, 0].,15.964
0,2,27,TOVPlayerMove,Moved from tile [9, 7] in direction [-1, 0].,15.17355
0,1,50,TOVPlayerMove,Moved from tile [8, 2] in direction [-1, 0].,17.167999999999996
0,0,50,TOVPlayerMove,Moved from tile [9, 2] in direction [1, 0].,16.482000000000003
0,2,27,TOVPlayerAttack,Default Attack against 79,15.710550000000001
0,1,50,TOVPlayerAttack,Default Attack against 78,17.177
0,0,41,TOVPlayerAttack,Default Attack against 79,16.31295
0,1,43,TOVPlayerAttack,Default Attack against 79,17.054550000000003
0,1,43,TOVPlayerAttack,Default Attack against 79,17.13455
0,0,41,TOVPlayerAttack,Default Attack against 77,16.31795
0,2,7,TOVPlayerAttack,Default Attack against 77,15.549550000000002
0,1,36,TOVPlayerAttack,Default Attack against 77,17.1322
0,1,28,TOVPlayerAttack,Default Attack against 78,17.1228
0,0,41,TOVPlayerAttack,Default Attack against 78,17.38795
0,2,7,TOVPlayerMove,Moved from tile [9, 2] in direction [-1, 0].,16.53955
0,2,7,TOVPlayerMove,Moved from tile [9, 1] in direction [0, -1].,16.550549999999998
0,0,41,TOVPlayerAttack,Default Attack against 47,17.39895
0,1,24,TOVPlayerAttack,Default Attack against 47,18.1942
0,1,24,TOVPlayerAttack,Default Attack against 49,18.199199999999998
0,1,24,TOVPlayerAttack,Default Attack against 48,18.2042
0,2,0,TOVPlayerAttack,Default Attack against 49,16.237999999999996
0,0,36,TOVPlayerAttack,Default Attack against 48,17.373199999999997
0,0,31,TOVPlayerAttack,Default Attack against 48,17.41995
0,0,31,TOVPlayerAttack,Default Attack against 47,17.42495
0,1,8,TOVPlayerAttack,Default Attack against 47,18.159799999999997
0,1,1,TOVPlayerAttack,Default Attack against 47,18.12795
0,0,27,TOVPlayerAttack,Default Attack against 48,17.47655
0,2,0,TOVPlayerAttack,Default Attack against 49,17.218
0,0,81,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,18.302999999999997
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [8, 1] in direction [0, -1].,18.293999999999997
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [7, 1] in direction [0, 1].,18.285
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [8, 1] in direction [0, 1].,18.293999999999997
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [7, 1] in direction [0, 1].,18.285
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, 1].,16.718
0,0,81,TOVPlayerMove,Moved from tile [7, 2] in direction [-1, 0].,18.293999999999997
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [6, 2] in direction [0, 1].,18.285
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, 1].,16.718
0,0,81,TOVPlayerMove,Moved from tile [6, 3] in direction [-1, 0].,18.294999999999998
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [7, 3] in direction [0, -1].,18.304
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [6, 3] in direction [0, 1].,18.294999999999998
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [5, 3] in direction [-1, 0].,18.285999999999998
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, -1].,16.718
0,0,81,TOVPlayerMove,Moved from tile [5, 2] in direction [0, -1].,18.275999999999996
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [4, 2] in direction [0, 1].,18.287
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, -1].,16.718
0,0,81,TOVPlayerMove,Moved from tile [4, 1] in direction [0, 1].,18.298
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.718
0,0,81,TOVPlayerMove,Moved from tile [3, 1] in direction [0, 1].,18.308999999999997
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,16.715
0,0,81,TOVPlayerMove,Moved from tile [2, 1] in direction [0, 1].,18.314999999999998
0,1,-3,TOVPlayerMove,Moved from tile [5, 7] in direction [-1, 0].,18.78355
0,0,73,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.323999999999998
0,0,72,TOVPlayerUseCard,Played the card: null,18.323999999999998
0,2,0,TOVPlayerAttack,Default Attack against 25,16.715
0,0,72,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.331
0,1,-3,TOVPlayerAttack,Default Attack against 24,18.78355
0,0,63,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.338
0,0,63,TOVPlayerAttack,Default Attack against 23,18.345
0,1,-3,TOVPlayerAttack,Default Attack against 23,18.78355
0,0,54,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.352
0,2,0,TOVPlayerAttack,Default Attack against 23,16.715
0,0,47,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.29355
0,1,-3,TOVPlayerAttack,Default Attack against 24,18.78355
0,0,45,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.289749999999998
0,1,-3,TOVPlayerAttack,Default Attack against 25,18.78355
0,0,36,TOVPlayerMove,Moved from tile [1, 1] in direction [0, 0].,18.3182
0,2,0,TOVPlayerAttack,Default Attack against 24,17.715
0,0,36,TOVPlayerMove,Moved from tile [1, 1] in direction [-1, 0].,19.3802
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [0, 1] in direction [0, 1].,19.369199999999996
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, -1].,17.715
0,0,36,TOVPlayerMove,Moved from tile [0, 0] in direction [0, 1].,19.3582
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [1, 0] in direction [0, 1].,19.369199999999996
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [2, 0] in direction [0, -1].,19.3602
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [3, 0] in direction [0, 1].,19.3512
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [2, 0] in direction [0, -1].,19.3602
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [1, 0].,17.715
0,0,36,TOVPlayerMove,Moved from tile [3, 0] in direction [0, -1].,19.3512
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, 1].,17.715
0,0,84,TOVPlayerMove,Moved from tile [3, 1] in direction [-1, 0].,19.567
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, -1].,17.715
0,0,84,TOVPlayerMove,Moved from tile [3, 0] in direction [0, -1].,19.556
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, 1].,17.715
0,0,84,TOVPlayerMove,Moved from tile [3, 1] in direction [0, 1].,19.567
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [0, 1].,17.715
0,0,84,TOVPlayerMove,Moved from tile [3, 2] in direction [-1, 0].,19.578
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,17.715
0,0,84,TOVPlayerMove,Moved from tile [2, 2] in direction [0, 1].,19.587
0,2,0,TOVPlayerMove,Moved from tile [9, 1] in direction [-1, 0].,17.715
0,0,84,TOVPlayerMove,Moved from tile [1, 2] in direction [0, -1].,19.596
0,0,84,TOVPlayerMove,Moved from tile [1, 3] in direction [0, 1].,19.607
0,2,0,TOVPlayerUseCard,Played the card: null,17.715
0,1,-3,TOVPlayerMove,Moved from tile [2, 7] in direction [0, 0].,19.31155
0,0,75,TOVPlayerMove,Moved from tile [1, 3] in direction [0, 0].,19.607
0,0,75,TOVPlayerAttack,Default Attack against 83,19.616
0,0,66,TOVPlayerAttack,Default Attack against 83,19.7
