Game,PlayerID,Health,ActionType,ActionString,HeuristicValue,RoundNum
9,0,57,TOVPlayerAttack,Default Attack against 28,17.248,28
9,1,65,TOVPlayerUseCard,Played the card: Taunt,10.351,28
9,2,2,TOVPlayerUseCard,Played the card: Life tap,18.069,28
9,0,55,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",18.073,29
9,1,64,TOVPlayerAttack,Default Attack against 22,11.073,29
9,2,9,TOVPlayerUseCard,Played the card: Heal,22.094,29
9,0,54,TOVPlayerUseCard,Played the card: Cleave,18.902,30
9,1,64,TOVPlayerUseCard,Played the card: Dazzle,11.741,30
9,2,8,TOVPlayerAttack,Default Attack against 30,17.796,30
9,0,54,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",19.678,31
9,1,61,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",12.42,31
9,2,6,TOVPlayerMove,"Moved from tile [?, ?] in direction [1, 0].",18.493,31
9,0,53,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",20.43,32
9,1,58,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",20.926,32
9,2,6,TOVPlayerAttack,Default Attack against 24,19.248,32
9,0,50,TOVPlayerUseCard,Played the card: Cleave,21.191,33
9,1,55,TOVPlayerUseCard,Played the card: Taunt,28.18,33
9,2,13,TOVPlayerUseCard,Played the card: Heal,23.384,33
9,0,48,TOVPlayerUseCard,Played the card: Empower,21.46,34
9,1,52,TOVPlayerAttack,Default Attack against 29,29.086,34
9,2,10,TOVPlayerAttack,Default Attack against 28,20.836,34
9,0,47,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",22.121,35
9,1,50,TOVPlayerUseCard,Played the card: Taunt,30.006,35
9,2,10,TOVPlayerAttack,Default Attack against 27,21.532,35
9,0,45,TOVPlayerAttack,Default Attack against 28,22.78,36
9,1,50,TOVPlayerAttack,Default Attack against 30,30.847,36
9,2,10,TOVPlayerAttack,Default Attack against 20,28.915,36
9,0,42,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",23.36,37
9,1,49,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",31.18,37
9,2,100,TOVPlayerUseCard,Played the card: Life tap,31.211,37
9,0,40,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, 1].",23.937,38
9,1,47,TOVPlayerUseCard,Played the card: Dazzle,31.925,38
9,2,97,TOVPlayerMove,"Moved from tile [?, ?] in direction [0, -1].",29.178,38
9,0,37,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",24.471,39
9,1,46,TOVPlayerUseCard,Played the card: null,32.631,39
9,2,97,TOVPlayerAttack,Default Attack against 26,29.883,39
9,0,36,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",25.028,40
9,1,46,TOVPlayerAttack,Default Attack against 24,33.363,40
9,2,95,TOVPlayerAttack,Default Attack against 27,37.68,40
9,0,33,TOVPlayerAttack,Default Attack against 25,25.566,41
9,1,45,TOVPlayerAttack,Default Attack against 20,34.336,41
9,2,84,TOVPlayerUseCard,Played the card: Life tap,41.289,41
9,0,33,TOVPlayerMove,"Moved from tile [?, ?] in direction [-1, 0].",26.11,42
9,1,42,TOVPlayerUseCard,Played the card: Taunt,35.068,42
9,2,84,TOVPlayerAttack,Default Attack against 22,46.427,42
9,0,31,TOVPlayerAttack,Default Attack against 25,26.621,43
9,1,41,TOVPlayerUseCard,Played the card: Taunt,35.787,43
9,2,71,TOVPlayerUseCard,Played the card: Life tap,50.145,43
